iter	MAE
171	4800804.023
172	4796649.07
173	4791346.713
174	4788051.431
175	4782011.589
176	4776548.924
177	4773272.468
178	4768385.717
179	4762461.341
180	4758718.636
181	4754127.376
182	4750458.927
183	4747654.939
184	4743829.469
185	4739135.317
186	4736742.342
187	4732302.03
188	4727048.161
189	4722238.126
190	4718022.98
191	4713705.556
192	4709245.888
193	4706305.999
194	4703777.599
195	4700327.231
196	4696582.054
197	4692620.684
198	4689214.85
199	4684932.392
200	4683055.881
201	4679767.269
202	4676896.943
203	4673048.261
204	4670014.695
205	4666974.63
206	4663257.52
207	4660208.229
208	4656640.089
209	4653019.972
210	4649392.289
211	4646574.253
212	4642273.872
213	4638595.805
214	4635554.824
215	4631540.415
216	4626943.47
217	4622067.222
218	4618796.662
219	4615624.037
220	4612303.24
221	4609414.158
222	4606544.102
223	4603482.861
224	4599322.922
225	4596307.435
226	4593252.506
227	4590080.261
228	4586183.433
229	4582116.416
230	4579051.161
231	4575152.494
232	4571950.7
233	4568768.371
234	4567159.217
235	4564016.132
236	4560422.224
237	4557947.754
238	4555705.659
239	4553161.018
240	4549372.014
241	4544603.085
242	4541658.231
243	4536810.419
244	4534385.014
245	4532310.62
246	4528784.702
247	4526296.838
248	4523499.415
249	4520666.554
250	4519381.879
251	4515396.731
252	4512335.234
253	4509779.878
254	4507139.175
255	4504373.414
256	4502361.004
257	4499114.613
258	4496114.704
259	4493498.681
260	4491462.124
261	4489033.607
262	4486110.253
263	4484827.933
264	4481289.227
265	4478845.39
266	4477534.613
267	4476660.663
268	4472816.768
269	4469767.041
270	4467563.66
271	4466517.155
272	4464594.355
273	4462672.171
274	4460681.971
275	4457948.753
276	4455062.249
277	4451564.747
278	4450076.887
279	4446767.864
280	4443094.562
281	4441043.616
282	4439086.861
283	4437377.403
284	4435416.488
285	4432594.061
286	4430673.203
287	4429082.755
288	4428576.605
289	4426758.313
290	4424352.121
291	4422059.096
292	4419173.367
293	4417572.808
294	4415036.402
295	4414513.951
296	4412944.975
297	4411157.771
298	4406910.078
299	4404759.974
300	4401566.534
301	4398945.004
302	4397028.613
303	4395095.301
304	4392969.434
305	4391059.181
306	4391008.559
307	4387781.035
308	4384354.759
309	4382885.941
310	4379445.141
311	4377877.372
312	4375575.409
313	4372155.15
314	4370963.684
315	4368735.229
316	4366097.288
317	4362774.781
318	4361615.579
319	4358916.718
320	4354756.764
321	4352859.539
322	4352177.444
323	4351577.613
324	4349744.282
325	4347749.742
326	4346443.788
327	4344353.412
328	4342442.919
329	4338745.529
330	4337550.692
331	4336097.368
332	4334473.033
333	4333503.876
334	4331296.884
335	4330016.797
336	4328603.065
337	4326788.048
338	4325861.743
339	4324778.338
340	4322389.583
341	4319626.996
342	4318206.008
343	4316422.382
344	4314338.06
345	4312904.688
346	4310443.703
347	4307730.663
348	4306000.667
349	4304256.908
350	4302854.974
351	4300806.835
352	4297523.189
353	4295864.26
354	4294438.072
355	4293344.625
356	4292516.693
357	4291803.481
358	4289363.929
359	4287448.3
360	4284782.815
361	4282627.532
362	4280214.044
363	4278097.066
364	4276080.774
365	4274007.424
366	4273539.586
367	4271965.933
368	4269544.806
369	4268140.183
370	4266140.835
371	4265548.228
372	4264389.255
373	4263592.415
374	4262302.898
375	4261732.918
376	4260362.215
377	4258744.612
378	4256813.827
379	4255756.998
380	4255366.789
381	4254079.621
382	4253123.819
383	4251765.869
384	4249753.745
385	4248788.927
386	4245736.962
387	4245032.194
388	4242472.229
389	4241482.398
390	4240289.843
391	4237962.517
392	4236737.789
393	4234143.178
394	4231214.352
395	4229682.543
396	4226493.674
397	4224966.598
398	4224284.416
399	4222697.615
400	4221697.735
401	4219559.709
402	4218167.025
403	4216997.076
404	4214460.185
405	4211995.578
406	4210664.218
407	4210348.087
408	4207889.012
409	4206386.503
410	4205694.462
411	4204560.597
412	4202674.926
413	4201744.892
414	4200976.579
415	4200486.651
416	4197353.407
417	4194979.313
418	4192579.87
419	4190948.708
420	4190040.315
421	4188502.966
422	4187799.703
423	4186559.532
424	4184830.722
425	4183016.571
426	4180518.148
427	4178175.049
428	4175851.872
429	4174187.569
430	4172639.43
431	4170687.757
432	4169497.171
433	4166580.701
434	4165372.385
435	4163491.243
436	4161158.701
437	4159198.317
438	4157801.557
439	4155815.583
440	4154545.052
441	4153371.178
442	4152325.745
443	4151100.369
444	4150294.636
445	4149897.262
446	4147816.064
447	4147011.625
448	4145299.871
449	4143801.686
450	4142794.613
451	4141050.494
452	4140028.3
453	4139039.844
454	4137728.416
455	4136358.603
456	4135440.243
457	4134366.797
458	4133196.431
459	4131768.925
460	4130067.865
461	4128206.472
462	4127792.62
463	4127022.607
464	4125845.407
465	4124004.007
466	4122762.026
467	4122502.769
468	4121780.428
469	4121293.706
470	4119369.714
471	4119055.104
472	4118256.205
473	4116791.124
474	4116177.408
475	4115074.428
476	4113423.959
477	4112740.561
478	4111786.957
479	4111334.687
480	4109248.174
481	4107381.55
482	4106635.162
483	4105938.684
484	4105442.159
485	4104686.703
486	4103207.7
487	4102735.612
488	4101721.566
489	4100346.96
490	4098556.112
491	4097772.602
492	4096411.349
493	4096047.984
494	4094999.816
495	4094231.378
496	4092496.721
497	4090045.705
498	4087350.009
499	4085673.653
500	4084137.267
501	4081668.596
502	4080358.218
503	4079097.243
504	4077353.143
505	4076190.081
506	4074425.589
507	4073336.962
508	4072297.423
509	4070460.135
510	4069424.786
511	4069154.232
512	4067600.341
513	4066679.125
514	4065399.597
515	4064349.566
516	4063361.418
517	4062959.119
518	4060665.113
519	4059000.843
520	4057625.482
521	4056802.666
522	4055434.219
523	4054347.965
524	4052362.164
525	4051487.887
526	4050328.015
527	4047899.854
528	4046064.849
529	4043983.504
530	4043048.835
531	4041875.168
532	4041263.192
533	4040163.617
534	4038810.902
535	4038106.584
536	4037246.722
537	4036972.267
538	4036185.795
539	4035335.977
540	4034549.433
541	4033950.274
542	4033408.507
543	4031334.616
544	4030879.609
545	4029968.995
546	4029532.079
547	4027770.222
548	4027336.891
549	4026326.206
550	4025195.872
551	4024853.855
552	4023079.233
553	4022824.146
554	4021505.283
555	4019405.928
556	4018303.527
557	4017501.497
558	4016516.447
559	4015025.88
560	4013755.139
561	4013321.487
562	4012990.092
563	4012478.726
564	4011475.556
565	4010779.547
566	4008087.394
567	4006917.049
568	4005928.611
569	4005283.37
570	4004482.291
571	4002818.866
572	4001490.42
573	4000340.075
574	3999732.609
575	3998365.399
576	3997742.25
577	3997119.485
578	3996378.652
579	3996112.582
580	3995486.339
581	3995124.204
582	3992766.824
583	3992206.012
584	3991868.481
585	3990587.572
586	3989500.252
587	3988638.348
588	3988039.675
589	3987578.686
590	3986292.122
591	3984986.097
592	3984145.681
593	3983265.158
594	3981482.089
595	3981044.126
596	3980305.473
597	3979561.013
598	3979056.169
599	3978281.939
600	3977214.659
601	3976277.837
602	3974921.491
603	3973976.207
604	3972732.506
605	3971792.213
606	3971210.843
607	3970365.71
608	3968625.341
609	3967319.662
610	3966642.294
611	3965109.096
612	3964701.677
613	3964528.127
614	3963882.387
615	3963329.512
616	3962473.333
617	3961931.275
618	3959642.421
619	3959307.927
620	3956979.363
621	3956027.367
622	3953577.175
623	3952739.369
624	3951079.425
625	3950500.314
626	3950092.117
627	3948254.728
628	3947388.708
629	3946182.679
630	3945125.961
631	3944253.297
632	3943517.164
633	3942884.456
634	3942094.146
635	3941671.94
636	3941139.553
637	3938340.813
638	3937466.41
639	3936594.217
640	3936112.478
641	3935091.427
642	3933648.029
643	3932784.275
644	3932549.208
645	3931359.834
646	3930264.754
647	3929971.245
648	3929295.652
649	3928985.766
650	3928671.953
651	3928042.103
652	3927583.119
653	3926696.431
654	3925709.977
655	3924934.565
656	3924476.57
657	3923430.384
658	3922295.095
659	3921673.497
660	3921385.857
661	3920608.693
662	3920133.087
663	3919167.667
664	3918505.849
665	3917471.089
666	3916493.186
667	3916348.156
668	3914609.247
669	3913503.9
670	3912274.694
671	3911334.408
672	3910120.68
673	3909401.028
674	3908454.028
675	3907903.223
676	3906406.1
677	3904390.383
678	3903842.344
679	3903390.182
680	3901815.594
681	3901143.294
682	3900467.355
683	3899342.737
684	3898078.456
685	3896716.819
686	3895343.345
687	3894532.806
688	3894239.546
689	3892754.817
690	3892440.677
691	3891092.201
692	3889415.983
693	3888328.921
694	3888044.269
695	3886074.141
696	3884768.422
697	3884064.956
698	3883017.201
699	3881488.799
700	3880028.181
701	3879321.27
702	3878967.628
703	3877984.963
704	3876870.703
705	3876332.534
706	3875814.019
707	3874171.445
708	3872302.631
709	3870492.809
710	3869543.935
711	3868560.606
712	3866873.729
713	3866480.953
714	3865820.958
715	3864827.65
716	3864364.135
717	3864015.099
718	3863518.744
719	3862604.65
720	3862349.707
721	3859700.139
722	3858941.348
723	3857897.173
724	3856746.941
725	3855654.56
726	3855481.168
727	3854232.251
728	3852831.521
729	3851765.36
730	3849977.845
731	3848924.213
732	3847975.364
733	3847447.121
734	3846661.902
735	3845797.307
736	3843613.179
737	3842736.801
738	3840241.457
739	3840143.509
740	3838774.727
741	3838477.984
742	3837195.599
743	3836793.366
744	3835865.619
745	3835471.666
746	3833089.887
747	3831824.102
748	3831564.891
749	3831021.692
750	3830947.93
751	3830171.296
752	3829431.118
753	3829123.713
754	3828852.437
755	3828389.886
756	3827783.165
757	3827581.439
758	3826239.964
759	3823251.565
760	3822672.341
761	3822186.711
762	3820634.448
763	3820540.703
764	3819354.769
765	3818933.472
766	3818750.245
767	3818208.062
768	3817233.91
769	3816308.792
770	3814523.707
771	3813727.454
772	3812813.889
773	3811859.898
774	3810773.599
775	3809676.336
776	3808189.752
777	3807999.601
778	3807427.634
779	3807038.856
780	3805900.651
781	3804303.206
782	3803232.206
783	3802878.484
784	3802564.467
785	3801792.104
786	3801341.124
787	3800833.639
788	3799011.763
789	3798082.028
790	3796840.942
791	3796310.29
792	3795586.323
793	3794555.818
794	3794069.476
795	3793853.685
796	3792761.69
797	3791865.65
798	3791109.268
799	3790331.388
800	3788595.009
801	3786803.881
802	3786274.242
803	3785893.995
804	3784943.786
805	3783764.863
806	3782739.439
807	3781819.712
808	3781220.007
809	3780767.272
810	3780587.522
811	3780046.105
812	3779397.024
813	3778597.758
814	3778047.591
815	3776700.564
816	3775521.459
817	3775218.786
818	3774592.982
819	3774162.058
820	3772277.651
821	3771911.638
822	3771644.901
823	3771294.15
824	3770860.348
825	3770119.44
826	3769170.039
827	3768837.565
828	3768424.526
829	3767539.888
830	3767404.231
831	3766612.369
832	3766025.371
833	3765812.78
834	3764476.519
835	3763281.95
836	3762966.71
837	3762622.229
838	3761548.076
839	3760886.011
840	3760056.931
841	3759414.811
842	3759018.472
843	3758576.668
844	3756892.305
845	3756145.397
846	3754679.03
847	3754024.513
848	3752484.803
849	3752084.986
850	3751621.299
851	3749753.79
852	3748528.231
853	3747459.268
854	3746484.499
855	3744932.994
856	3744253.028
857	3743546.201
858	3743255.775
859	3741679.653
860	3740860.624
861	3740343.036
862	3738901.076
863	3738318.895
864	3737923.729
865	3737094.855
866	3736171.887
867	3734375.138
868	3733421.994
869	3732736.476
870	3730427.068
871	3730020.069
872	3729338.237
873	3726957.943
874	3726620.182
875	3726331.243
876	3725567.183
877	3723236.723
878	3722448.922
879	3721981.213
880	3721896.927
881	3721394.917
882	3719973.693
883	3719668.001
884	3718143.382
885	3717694.26
886	3717061.211
887	3715538.669
888	3714658.967
889	3713983.414
890	3713743.843
891	3712825.909
892	3710757.72
893	3710056.111
894	3709205.525
895	3708683.108
896	3708091.345
897	3707887.649
898	3707619.334
899	3705294.726
900	3703384.338
901	3702160.802
902	3701620.496
903	3700895.85
904	3699921.981
905	3699422.554
906	3699124.336
907	3697553.094
908	3697256.072
909	3695077.313
910	3694505.269
911	3692750.502
912	3692240.543
913	3691350.781
914	3689475.824
915	3688356.332
916	3687226.436
917	3686569.251
918	3685103.551
919	3684527.798
920	3684026.013
921	3682084.638
922	3681773.671
923	3680595.054
924	3678657.156
925	3678395.968
926	3677675.128
927	3676314.106
928	3675967.644
929	3675179.751
930	3674012.254
931	3672526.032
932	3671529.462
933	3670552.23
934	3670095.123
935	3669181.445
936	3668619.641
937	3668347.38
938	3667675.283
939	3666152.453
940	3664892.718
941	3664187.438
942	3663787.195
943	3663432.075
944	3662693.952
945	3662002.335
946	3661663.989
947	3660991.361
948	3660556.846
949	3660352.876
950	3658793.613
951	3658616.256
952	3657261.519
953	3656357.357
954	3656146.904
955	3655556.248
956	3654974.376
957	3654115.026
958	3654014.199
959	3653869.648
960	3653367.722
961	3652363.97
962	3651791.309
963	3650496.622
964	3650146.43
965	3649424.465
966	3648476.207
967	3647762.857
968	3645842.441
969	3645133.598
970	3644430.196
971	3644117.514
972	3643561.487
973	3643326.383
974	3642039.144
975	3641878.475
976	3641457.686
977	3640171.715
978	3639252.35
979	3638695.174
980	3637792.509
981	3636974.434
982	3636413.284
983	3634935.661
984	3634443.42
985	3633600.96
986	3630984.104
987	3630659.372
988	3629759.799
989	3629514.543
990	3628611.545
991	3627935.503
992	3627207.396
993	3626831.829
994	3626658.728
995	3625859.781
996	3625441.169
997	3623683.237
998	3623058.241
999	3622094.175
